projectid,safe_env,safe_indigenous,safe_resettle,countrycode,regionname,countryshortname,country_classification_23,country_classification_approval,approved_amount_adb,disbursed_amount,approvalyear,closingyear,duration_years,delay,cofin_initial,cofin_final,totalcost_initial,totalcost_final,cost_increase,sector1,sector2,sector3,sector4,pcr_overall_rating,pcr_relevance,pcr_effectiveness,pcr_efficiency,pcr_sustainability,pcr_borrowerperformance,pcr_ea_performance,pcr_adb_performance,pvr_overall_rating,pvr_relevance,pvr_effectiveness,pvr_efficiency,pvr_sustainability,pvr_borrower_performance,pvr_ea_performance,pvr_adb_performance,pcr_quality,Source of latest rating,AER reporting year,ied_overall_rating,ied_relevance,ied_effectiveness,ied_efficiency,ied_sustainability,ied_borrower_performance,ied_ea_performance,ied_adb_performance,year_for_plr,totalcost_initial_adj1_plr,include,totalcost_initial_adj2_2019,year_for_closing,totalcost_final_adj1_plr,totalcost_final_adj2_2019,adb_funding_ratio,totalcost_initial_adj,totalcost_final_adj,project_size
37559,A,C,A,PAK,Central and West Asia,Pakistan,B,B1,183.0,123.68,2005,2011,5.05,0.3,,,223.3,160.18,False,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,satisfactory,PVR,2012,successful,relevant,effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,2005,888.38,True,2619.27,2011,549.1,862.69,0.819525302283923,2619.27,862.69,mega
37597,A,D,D,PRC,East Asia,China,C,B2,100.0,97.84,2006,2014,5.01,3.0,,,266.4,513.6,True,Water,Urban flood protection,na,na,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2016,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2006,743.96,True,1174.06,2014,854.23,947.69,0.3753753753753754,1174.06,947.69,mega
37603,A,C,A,PRC,East Asia,China,C,B2,100.0,100.0,2006,2015,5.54,2.78,,,236.1,240.0,True,Water,Urban sewerage,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2016,na,na,na,na,na,na,na,na,2006,659.35,True,1040.53,2015,395.24,437.88,0.4235493434985176,1040.53,437.88,mega
37697,B,C,B,MON,East Asia,Mongolia,B,A,35.23,35.03,2006,2015,6.53,2.47,2.1,0.16,37.62,41.32,True,Transportation,Urban roads and traffic management,Water,Urban water supply; Urban sewerage,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,satisfactory,PVR,2017,successful,relevant,effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,2006,169.08,True,635.74,2015,112.57,152.52,0.9364699627857522,635.74,152.52,major
37752,D,D,D,PHI,Southeast Asia,Philippines,C,C,450.0,450.0,2006,2009,2.56,,300.0,300,750.0,750.0,False,Energy,Energy sector development and institutional reform,na,na,successful,highly relevant,less than effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2011,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2006,2407.91,True,3420.57,2009,2074.58,2594.27,0.6,3420.57,2594.27,mega
38049,B,D,D,BHU,South Asia,Bhutan,A,A,24.6,23.56,2006,2016,6.27,3.67,,,30.75,30.25,False,Water,"Urban policy, institutional and capacity development",Transportation,Urban roads and traffic management,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2018,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2006,106.33,True,206.33,2016,108.18,117.73,0.8,206.33,117.73,small
38135,B,D,D,PAK,Central and West Asia,Pakistan,B,B1,57.0,13.37,2004,2009,4.53,0.1,,,76.0,23.4,False,Energy,Electricity transmission and distribution,na,na,less than successful,relevant,less than effective,less than efficient,unlikely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,less than successful,relevant,less than effective,less than efficient,unlikely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,satisfactory,PVR,2010,less than successful,relevant,less than effective,less than efficient,unlikely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,2004,300.14,True,934.09,2009,91.7,185.47,0.75,934.09,185.47,major
38136,B,D,D,IND,South Asia,India,B,B2,250.0,250.0,2004,2014,5.03,4.29,,,358.0,371.6,True,Transportation,Road transport (non-urban),Water,Urban water supply,less than successful,relevant,less than effective,efficient,less than likely sustainable,highly satisfactory,highly satisfactory,satisfactory,less than successful,relevant,less than effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2017,less than successful,relevant,less than effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,2004,1537.99,True,3658.83,2014,1241.53,1449.99,0.6983240223463687,3658.83,1449.99,mega
38160,B,C,C,TON,Pacific,Tonga,A,B1,11.3,11.26,2008,2015,5.1,1.6,,,14.21,13.36,False,Water,"Urban policy, institutional and capacity development",Transportation,Urban roads and traffic management,successful,highly relevant,effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2016,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,2008,20.31,True,29.55,2015,17.73,21.18,0.7952146375791695,29.55,21.18,small
38174,A,D,D,PRC,East Asia,China,C,B2,300.0,300.0,2006,2015,8.79,0.24,,,1660.0,2275.1,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,highly effective,less than efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2019,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2006,4635.81,True,7315.86,2015,3746.69,4150.89,0.18072289156626506,7315.86,4150.89,mega
38189,D,D,D,TIM,Southeast Asia,Timor-Leste,B,A,6.0,5.92,2007,2016,3.45,5.24,,,7.5,7.42,False,Water,Urban water supply,na,na,less than successful,less than relevant,less than effective,less than efficient,unlikely sustainable,less than satisfactory,less than satisfactory,satisfactory,less than successful,less than relevant,less than effective,less than efficient,unlikely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,satisfactory,PVR,2019,less than successful,less than relevant,less than effective,less than efficient,unlikely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,2007,21.05,True,38.92,2016,18.84,19.54,0.8,38.92,19.54,small
38196,B,D,D,VIE,Southeast Asia,Viet Nam,C,B1,360.0,351.72,2005,2015,5.03,4.81,,,452.7,447.0,False,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2016,successful,highly relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2005,1953.19,True,5376.77,2015,1330.4,1500.48,0.7952286282306164,5376.77,1500.48,mega
38236,C,C,C,TAJ,Central and West Asia,Tajikistan,A,A,50.0,51.7,2005,2013,4.12,3.67,,,64.5,59.93,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2013,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2005,323.1,True,1387.71,2013,170.11,223.39,0.7751937984496124,1387.71,223.39,mega
38254,B,B,B,IND,South Asia,India,B,B2,33.0,23.42,2007,2014,4.93,2.56,,,51.4,35.45,False,Water,Urban Water Supply,na,na,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,satisfactory,PVR,2016,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,2007,176.45,True,342.82,2014,118.44,138.33,0.642023346303502,342.82,138.33,small
38255,B,B,A,IND,South Asia,India,B,B2,50.0,40.35,2007,2013,5.25,1.08,,,74.0,63.0,False,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,less than effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2018,less than successful,relevant,less than effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,2007,254.04,True,493.57,2013,220.47,266.07,0.6756756756756757,493.57,266.07,small
38357,B,C,A,SRI,South Asia,Sri Lanka,B,B1,243.0,236.88,2005,2017,11.05,0.7,,8,313.6,340.67,True,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2019,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,2005,1246.97,True,3228.12,2017,1054.06,1141.89,0.7748724489795917,3228.12,1141.89,mega
38492,B,D,D,IND,South Asia,India,B,B2,400.0,400.0,2004,2012,5.03,2.76,,,568.0,602.2,True,Energy,Electricity transmission and distribution,na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,less than relevant,effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,satisfactory,PVR,2018,successful,less than relevant,effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,2004,2440.17,True,5805.09,2012,2030.61,2602.17,0.704225352112676,5805.09,2602.17,mega
38618,B,D,D,TIM,Southeast Asia,Timor-Leste,B,A,10.0,9.89,2005,2010,2.76,1.83,,,12.5,12.39,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2011,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,2005,36.79,True,75.55,2010,29.8,45.5,0.8,75.55,45.5,small
39019,B,B,B,PRC,East Asia,China,C,B2,120.0,117.84,2006,2016,5.26,4.56,,,330.4,340.97,True,Energy,Energy efficiency and conservation,na,na,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2018,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2006,922.69,True,1456.12,2016,584.77,638.42,0.36319612590799033,1456.12,638.42,mega
39038,A,D,D,PRC,East Asia,China,C,B2,200.0,200.22,2006,2012,5.18,0.42,,,524.55,538.19,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PPER,2013,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2006,1464.89,True,2311.77,2012,959.6,1100.93,0.38127919168811364,2311.77,1100.93,mega
39149,A,A,A,PRC,East Asia,China,C,B2,300.0,300.0,2007,2013,5.71,0.6,550.0,1298.9,1566.0,1998.2,True,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2015,na,na,na,na,na,na,na,na,2007,3971.37,True,5807.7,2013,3418.86,3834.28,0.19157088122605365,5807.7,3834.28,mega
39153,D,B,A,PRC,East Asia,China,C,B2,100.0,99.14,2007,2014,5.55,1.3,,,140.0,131.53,False,Transportation,Rail transport (non-urban),na,na,successful,relevant,effective,less than efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,less than efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2016,successful,relevant,effective,less than efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,2007,355.04,True,519.21,2014,218.76,242.69,0.7142857142857143,519.21,242.69,major
39153,D,B,A,PRC,East Asia,China,C,C,150.0,145.15,2008,2015,6.56,-0.33,,,3071.11,4553.66,True,Transportation,Rail transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2016,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2008,6722.69,True,9115.07,2015,7499.08,8308.1,0.04884227526855111,9115.07,8308.1,mega
39175,B,C,D,VIE,Southeast Asia,Viet Nam,C,B1,100.0,98.24,2006,2016,6.04,3.98,77.5,81.63,161.66,154.54,False,Transportation,Rail transport (non-urban),na,na,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,less than relevant,less than effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,less than satisfactory,satisfactory,PVR,2017,less than successful,less than relevant,less than effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,less than satisfactory,2006,667.9,True,1693.49,2016,473.19,524.15,0.6185822095756526,1693.49,524.15,mega
39176,A,B,A,AZE,Central and West Asia,Azerbaijan,C,B,55.4,54.5,2008,2013,3.69,0.98,,,73.9,72.9,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2014,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2008,175.21,True,279.28,2013,159.84,214.48,0.7496617050067659,279.28,214.48,small
39228,A,A,A,PRC,East Asia,China,C,B2,105.0,104.45,2008,2014,5.69,0.36,,,190.9,162.2,False,Transportation,Other urban services,Water,Energy utility services,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2016,na,na,na,na,na,na,na,na,2008,417.88,True,566.59,2014,269.77,299.28,0.5500261917234154,566.59,299.28,major
39415,B,C,B,SRI,South Asia,Sri Lanka,B,B,120.0,94.12,2011,2018,5.93,1.07,,,162.03,133.34,False,Energy,Electricity transmission and distribution,na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2019,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2011,455.98,True,676.99,2018,433.74,450.53,0.7406035919274209,676.99,450.53,major
39431,A,C,C,SRI,South Asia,Sri Lanka,B,B1,300.0,300.0,2007,2013,4.17,2.22,,,781.0,920.99,True,Transportation,Water transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2016,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2007,2852.29,True,5819.27,2013,2770.55,3504.63,0.38412291933418696,5819.27,3504.63,mega
39581,B,C,C,SOL,Pacific,Solomon Islands,A,A,0.35,0.35,2006,2013,4.9,2.3,15.85,19.401,16.85,21.375,True,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2014,na,na,na,na,na,na,na,na,2006,23.97,True,40.1,2013,23.68,28.52,0.020771513353115723,40.1,28.52,small
39595,D,D,D,VIE,Southeast Asia,Viet Nam,C,B1,930.71,902.15,2007,2017,9.29,0.44,,489.05,1187.39,1572.59,True,Energy,Conventional energy generation,na,na,highly successful,highly relevant,highly effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,highly satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,highly satisfactory,satisfactory,PVR,2019,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,highly satisfactory,2007,4627.89,True,10703.45,2017,4878.11,5177.52,0.7838283967356976,10703.45,5177.52,mega
39619,B,C,B,SRI,South Asia,Sri Lanka,B,B,71.061934,65.33,2009,2016,4.79,2.1,,,78.0,73.35,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,highly effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,highly effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2017,successful,highly relevant,highly effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,2009,246.46,True,408.25,2016,231.2,264.17,0.9110504358974358,408.25,264.17,small
39652,A,B,B,PRC,East Asia,China,C,B2,28.0,28.0,2008,2012,4.93,-0.8,,,61.92,71.99,True,Energy,Large hydropower generation,na,na,highly successful,highly relevant,highly effective,efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory,highly successful,highly relevant,highly effective,efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory,less than satisfactory,PVR,2013,highly successful,highly relevant,highly effective,efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory,2008,135.54,True,183.77,2012,128.36,147.26,0.45219638242894056,183.77,147.26,small
39652,A,B,B,PRC,East Asia,China,C,B2,22.0,22.0,2006,2010,3.53,-0.25,,,49.09,57.9,True,Energy,Large hydropower generation,na,na,highly successful,highly relevant,highly effective,efficient,most likely sustainable,highly satisfactory,highly satisfactory,highly satisfactory,highly successful,highly relevant,highly effective,highly efficient,likely sustainable,highly satisfactory,highly satisfactory,highly satisfactory,satisfactory,PPER,2012,highly successful,highly relevant,highly effective,highly efficient,likely sustainable,highly satisfactory,highly satisfactory,highly satisfactory,2006,137.09,True,216.34,2010,117.71,149.38,0.4481564473416174,216.34,149.38,small
39653,C,C,C,PRC,East Asia,China,C,C,42.94,42.94,2011,2013,2.32,-0.05,,,79.05,85.47,True,Energy,Energy efficiency and conservation,na,na,highly successful,highly relevant,highly effective,efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory,highly successful,highly relevant,highly effective,efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory,less than satisfactory,PVR,2016,highly successful,highly relevant,highly effective,efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory,2011,144.92,True,170.26,2013,146.24,164.01,0.5432005060088552,170.26,164.01,small
39653,C,C,C,PRC,East Asia,China,C,C,22.06,22.06,2009,2012,3.04,-0.23,,,66.14,70.74,True,Energy,Energy sector development and institutional reform,na,na,highly successful,highly relevant,highly effective,highly efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory,highly successful,highly relevant,highly effective,efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory,satisfactory,PVR,2014,highly successful,highly relevant,highly effective,efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory,2009,143.33,True,194.5,2012,126.13,144.71,0.33353492591472633,194.5,144.71,small
39653,C,C,C,PRC,East Asia,China,C,C,35.0,35.0,2008,2012,3.56,0.09,,,50.0,59.27,True,Energy,Energy efficiency and conservation,na,na,highly successful,highly relevant,highly effective,efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory,successful,relevant,highly effective,efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory,less than satisfactory,PVR,2014,successful,relevant,highly effective,efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory,2008,109.45,True,148.4,2012,105.68,121.24,0.7,148.4,121.24,small
39655,A,A,A,PRC,East Asia,China,C,B2,150.0,150.0,2007,2014,5.05,1.33,,,594.0,569.0,False,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2015,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2007,1506.38,True,2202.92,2014,946.37,1049.91,0.25252525252525254,2202.92,1049.91,mega
39669,B,C,B,UZB,Central and West Asia,Uzbekistan,B,B2,75.3,59.88,2007,2013,4.53,0.59,,,173.4,224.9,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2016,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2007,865.74,True,7656.97,2013,585.8,1590.77,0.4342560553633218,7656.97,1590.77,mega
39674,B,C,C,KGZ,Central and West Asia,Kyrgyz Republic,A,A,20.0,17.54,2008,2013,3.88,0.44,,,30.3,21.33,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,less than satisfactory,PVR,2014,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,2008,95.05,True,214.59,2013,67.22,96.55,0.6600660066006601,214.59,96.55,small
40007,B,B,B,UZB,Central and West Asia,Uzbekistan,B,B,31.5,31.16,2008,2015,5.91,0.44,1.5,1.5,40.0,39.48,False,Water,Urban water supply,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PPER,2017,successful,relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2008,167.57,True,1168.89,2015,95.76,206.38,0.7875,1168.89,206.38,mega
40031,D,D,D,IND,South Asia,India,B,B2,60.0,50.02,2007,2015,5.65,1.89,,,75.0,63.54,False,Water,"Urban policy, institutional and capacity development",Transportation,Urban roads and traffic management,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,less than effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2018,less than successful,relevant,less than effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,2007,257.47,True,500.23,2015,217.62,248.49,0.8,500.23,248.49,major
40037,A,C,A,PNG,Pacific,Papua New Guinea,B,B2,197.37,195.27,2007,2016,7.04,1.5,8.25,7.81,197.37,195.27,False,Transportation,Water transport (non-urban),na,na,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,satisfactory,PVR,2017,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,2007,349.49,True,540.12,2016,321.41,384.11,1.0,540.12,384.11,major
40050,A,B,A,PRC,East Asia,China,C,B2,100.0,94.8,2007,2013,5.67,0.29,137.59,113.22,352.68,341.03,False,Water,Urban water supply,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2014,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,2007,894.4,True,1307.96,2013,583.49,654.39,0.2835431552682318,1307.96,654.39,mega
40051,A,C,A,PRC,East Asia,China,C,B2,80.0,80.0,2008,2014,4.44,1.84,,,161.5,172.4,True,Transportation,Urban roads and traffic management,Energy,Energy utility services,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2016,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2008,353.52,True,479.33,2014,286.74,318.11,0.4953560371517028,479.33,318.11,small
40052,A,B,A,PRC,East Asia,China,C,B2,80.0,80.0,2007,2013,5.55,0.35,,,255.9,369.0,True,Water,Urban water supply,na,na,successful,highly relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2015,successful,relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2007,648.96,True,949.03,2013,631.35,708.06,0.31262211801484957,949.03,708.06,major
40061,C,C,C,INO,Southeast Asia,Indonesia,C,C,101.0,71.71224742,2010,2016,2.7,3.99,50.0,31.62,120.0,83.94,False,Energy,Electricity transmission and distribution,na,na,successful,relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,less than satisfactory,satisfactory,PVR,2017,successful,relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,less than satisfactory,2010,326.98,True,472.82,2016,244.63,269.11,0.8416666666666667,472.82,269.11,small
40075,A,A,A,PAK,Central and West Asia,Pakistan,B,B1,180.0,126.44,2007,2015,7.29,0.34,,,212.5,157.13,False,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,less than effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,less than satisfactory,PVR,2019,less than successful,relevant,less than effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,2007,781.83,True,1971.06,2015,509.96,606.21,0.8470588235294118,1971.06,606.21,mega
40173,D,D,D,PNG,Pacific,Papua New Guinea,B,B,100.0,99.41,2008,2017,7.53,1.1,,,140.0,139.4,False,Transportation,Road transport (non-urban),na,na,less than successful,relevant,less than effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,less than successful,less than relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,less than satisfactory,PVR,2019,less than successful,less than relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,2008,213.51,True,306.2,2017,220.72,244.92,0.7142857142857143,306.2,244.92,small
40296,B,C,B,ARM,Central and West Asia,Armenia,C,B1,76.0,74.25,2007,2018,10.01,0.21,,,95.0,92.62,False,Water,Urban water supply,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PPER,2019,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,2007,228.84,True,335.21,2018,284.25,287.28,0.8,335.21,287.28,small
40364,B,A,C,VIE,Southeast Asia,Viet Nam,C,B,45.0,37.55,2009,2018,7.54,0.86,,,50.0,41.5,False,Water,Urban water supply,na,na,successful,relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,less than satisfactory,successful,relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,less than satisfactory,satisfactory,PVR,2019,successful,relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,less than satisfactory,2009,162.53,True,288.49,2018,128.92,132.04,0.9,288.49,132.04,small
