projectid_head,projectid,projectname,countryname,projectmodality,status,approvalno,approvaldate,sector1,sector1a,safe_env,safe_ind,safe_res
42378,42378-015,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,Bangladesh,Grant | Loan,Closed,2966,11/28/12,Energy,Electricity transmission and distribution ,B,C,B
42378,42378-016,Power System Expansion and Efficiency Improvement Investment Program - Tranche 2,Bangladesh,Loan,Closed,3087,12/11/13,Energy,Electricity transmission and distribution,B,C,A
42378,42378-017,Power System Expansion and Efficiency Improvement Investment Program - Tranche 3,Bangladesh,Loan,Closed,3350,12/8/15,Energy,Electricity transmission and distribution ,A,C,B
42391,42391-013,Port Vila Urban Development Project,Vanuatu,Grant | Loan,Closed,0275 | 0276 | 0526 | 2832,12/13/11,Transportation,Urban roads and traffic management ,B,C,B
42399,42399-013,Grant 0153/Loan 2533-KGZ: CAREC Transport Corridor I (Bishkek-Torugart Road) Project 2,Kyrgyz Republic,Grant | Loan,Closed,0153 | 2533,7/14/09,Transportation,Road transport (non-urban),B,C,C
42399,42399-023,CAREC Transport Corridor I (Bishkek-Torugart Road) Project 3,Kyrgyz Republic,Loan,Closed,2755,6/7/11,Transportation,Road transport (non-urban),A,C,C
42399,42399-024,CAREC Transport Corridor I (Bishkek-Torugart Road) Project 3 - Additional Financing,Kyrgyz Republic,Grant | Loan,Closed,0418 | 3204,12/2/14,Transportation,Road transport (non-urban),C,C,C
42401,42401-015,Power Distribution Enhancement Investment Program - Tranche 1,Azerbaijan,Loan,Closed,3407,7/19/16,Energy,Electricity transmission and distribution ,B,C,B
42408,42408-043,Water Supply and Sanitation Investment Program - Tranche 3,Azerbaijan,Loan,Closed,3079,12/5/13,Water,Urban sewerage ,B,C,B
42414,42414-044,Sustainable Urban Transport Investment Program - Tranche 4,Georgia,Loan,Closed,3273,8/25/15,Transportation,Urban public transport ,B,C,C
42414,42414-045,Sustainable Urban Transport Investment Program - Tranche 5,Georgia,Loan,Closed,3617,12/7/17,Transportation,Urban public transport,C,C,C
42417,42417-023,Sustainable Urban Development Investment Program - Tranche 1,Armenia,Loan,Closed,2752,5/9/11,Transportation,Urban roads and traffic management,B,C,A
42417,42417-033,Sustainable Urban Development Investment Program - Tranche 2,Armenia,Loan,Closed,3293,9/29/15,Transportation,Urban roads and traffic management,B,C,A
42459,42459-013,Local Government Enhancement Sector Project,Sri Lanka,Loan | Technical Assistance,Closed,2790 | 3431 | 7877,9/29/11,Transportation,Urban roads and traffic management ,B,B,B
42513,42513-013,Karnataka State Highway Improvement Project,India,Loan | Technical Assistance,Closed,2705 | 7667,11/29/10,Transportation,Road transport (non-urban),B,C,A
42533,42533-022,Hairatan to Mazar-e-Sharif Railway Project,Afghanistan,Grant,Closed,161,9/30/09,Transportation,Rail transport (non-urban),B,C,B
42534,42534-012,Demonstration Project for Improved Electricity Services to the Low-Income Communities in Rural Areas,Mongolia,Grant,Closed,9139,9/9/09,Energy,,B,C,C
43023,43023-013,Guangxi Beibu Gulf Cities Development Project,China,Loan,Closed,2821,12/2/11,Transportation,Urban roads and traffic management ,A,C,A
43029,43029-013,Inner Mongolia Road Development Project,China,Loan | Technical Assistance,Closed,3042 | 8479,10/8/13,Transportation,Road transport (non-urban),A,A,B
43031,43031-013,Hunan Xiangjiang Inland Waterway Transport Project,China,Loan,Closed,2962,12/7/12,Transportation,Water transport (non-urban),A,C,A
43032,43032-013,Xi'an Urban Road Network Improvement Project,China,Loan,Closed,2802,11/8/11,Transportation,Urban roads and traffic management ,A,C,A
43063,43063-013,Madhya Pradesh State Roads Project III,India,Loan | Technical Assistance,Closed,2736 | 7785,3/10/11,Transportation,Road transport (non-urban),B,C,C
43072,43072-013,South Tarawa Sanitation Improvement Sector Project (formerly Tarawa Sanitation Improvement Project),Kiribati,Grant | Loan,Closed,0263 | 0387 | 0502 | 2795,10/17/11,Water,Urban sewerage,B,C,B
43141,43141-013,Civil Aviation Development Investment Program,Papua New Guinea,Loan,Closed,39,11/24/09,Transportation,Air transport,B,B,B
43141,43141-023,Civil Aviation Development Investment Program - Project 1,Papua New Guinea,Loan,Closed,2588 | 2589 | 2590,12/1/09,Transportation,Air transport,B,B,B
43141,43141-043,Civil Aviation Development Investment Program - Tranche 2,Papua New Guinea,Loan,Closed,3069 | 3070,11/25/13,Transportation,Air transport,B,C,C
43141,43141-044,"Civil Aviation Development Investment Program, Tranche 3",Papua New Guinea,Loan,Closed,3496 | 3497,12/8/16,Transportation,Air transport,B,C,B
43150,43150-022,Regional Power Transmission Project,Tajikistan,Grant,Closed,213,8/13/10,Energy,Electricity transmission and distribution,B,C,B
43171,43171-013,Municipal Services Development Project - Phase 2,Georgia,Loan,Closed,2534,7/28/09,Transportation,Urban roads and traffic management ,C,C,C
43200,43200-024,Bridge Replacement for Improved Rural Access Sector Project,Papua New Guinea,Loan | Technical Assistance,Closed,2783 | 2784 | 7874,9/28/11,Transportation,Road transport (non-urban),B,B,B
43216,43216-012,Transport Project Preparatory Facility (formerly Transport Project Preparatory and Capacity Development Facility),Nepal,Grant,Closed,227,10/29/10,Transportation,Air transport ,C,C,C
43253,43253-027,Karnataka Integrated Urban Water Management Investment Program-Tranche 2,India,Loan,Closed,3726,10/17/18,Water,Urban sewerage ,B,C,B
43309,43309-013,Provincial Roads Improvement Project,Cambodia,Grant | Loan | Technical Assistance,Closed,0278 | 2839 | 3442 | 8005 | 8254,12/16/11,Transportation,Road transport (non-urban),B,B,B
43316,43316-012,Pakse Urban Environmental Improvement Project,Lao People's Democratic Republic,Grant | Loan,Closed,0297 | 2876,6/28/12,Water,Urban flood protection ,B,C,B
43319,43319-043,Greater Mekong Subregion Corridor Towns Development Project,Viet Nam,Grant | Loan,Closed,0329 | 2969,12/12/12,Transportation,Urban roads and traffic management ,B,C,A
43322,43322-012,Road Network Development Sector Project,Timor-Leste,Grant,Closed,180,11/20/09,Transportation,Road transport (non-urban),B,B,B
43322,43322-022,Our Roads Our Future-Supporting Local Governance and Community-Based Infrastructure Works,Timor-Leste,Grant,Closed,9142,11/20/09,Transportation,,C,C,C
43332,43332-023,Railway Energy Efficiency and Safety Enhancement Investment Program - Tranche I,China,Loan | Technical Assistance,Closed,2605 | 7403,12/8/09,Transportation,Rail transport (non-urban),C,C,C
43332,43332-033,Railway Energy Efficiency and Safety Enhancement Investment Program - Tranche 2,China,Loan,Closed,2724,12/14/10,Transportation,Rail transport (non-urban),C,C,C
43332,43332-043,Railway Energy Efficiency and Safety Enhancement Investment Program - Tranche 3,China,Loan,Closed,2765,7/20/11,Transportation,Rail transport (non-urban),C,C,C
43332,43332-053,Railway Energy Efficiency and Safety Enhancement Investment Program - Tranche IV,China,Loan,Closed,3082,12/4/13,Transportation,Rail transport (non-urban),C,C,C
43332,43332-054,Railway Energy Efficiency and Safety Enhancement Investment Program - Tranche 5,China,Loan,Closed,3109,2/7/14,Transportation,Rail transport (non-urban),C,C,C
43381,43381-012,Second Road Improvement (Sector) Project,Solomon Islands,Grant,Closed,0175 | 0176 | 0177 | 0207 | 0210,11/12/09,Transportation,Road transport (non-urban) ,B,B,B
43393,43393-023,Ho Chi Minh City Third Ring Road Technical Assistance Project,Viet Nam,Loan,Closed,3248,2/26/15,Transportation,Road transport (non-urban),C,C,C
43400,43400-013,O Mon IV Combined Cycle Power Plant Project,Viet Nam,Loan,Closed,2814,11/24/11,Energy,Conventional energy generation,A,C,A
43405,43405-024,Urban Services Improvement Investment Program - Tranche 2,Georgia,Loan,Closed,2807,11/23/11,Water,Urban sewerage ,B,C,B
43439,43439-013,MFF - Central Asia Regional Economic Cooperation Corridor 2 (Mangystau Oblast Sections) Investment Program (Facility),Kazakhstan,Loan,Closed,47,9/28/10,Transportation,,B,C,B
43439,43439-023,CAREC Corridor 2 (Mangystau Oblast Sections) Investment Program - Tranche 1,Kazakhstan,Loan,Closed,2728,12/20/10,Transportation,Road transport (non-urban),B,C,B
43439,43439-033,CAREC Corridor 2 (Mangystau Oblast Section) Investment Program - Tranche 2,Kazakhstan,Loan,Closed,2967,12/13/12,Transportation,Road transport (non-urban),A,C,B
43441,43441-013,North-South Railway Project,Turkmenistan,Loan,Closed,2737,3/15/11,Transportation,Rail transport (non-urban),B,C,C
43452,43452-022,Outer Island Renewable Energy Project,Tonga,Grant | Loan,Closed,0347 | 0348 | 0444 | 0445 | 0446 | 0528 | 0586 | 0587 | 0588 | 0768 | 3509,6/27/13,Energy,Renewable energy generation - solar,B,C,C
43456,43456-023,Power Sector Improvement Project (formerly Transmission and Distribution Metering Project),Kyrgyz Republic,Grant | Loan,Closed,0218 | 2671,9/27/10,Energy,Electricity transmission and distribution,B,C,B
43463,43463-012,Improved Energy Supply for Poor Households,Marshall Islands,Grant,Closed,9148,8/6/10,Energy,,C,C,C
43464,43464-023,MFF-Himachal Pradesh Clean Energy Transmission Investment Program - Tranche 1,India,Loan,Closed,2794,10/18/11,Energy,Electricity transmission and distribution,B,C,B
43464,43464-026,Himachal Pradesh Clean Energy Transmission Investment Program - Tranche 2,India,Loan,Closed,3001,5/7/13,Energy,Electricity transmission and distribution,B,C,B
43464,43464-027,Himachal Pradesh Clean Energy Transmission Investment Program - Tranche 3,India,Loan,Closed,3733,11/6/18,Energy,Electricity transmission and distribution,B,B,B
43467,43467-015,Madhya Pradesh Energy Efficiency Improvement Investment Program - Tranche 1,India,Loan,Closed,2764,7/15/11,Energy,Electricity transmission and distribution,B,C,B
43467,43467-016,Madhya Pradesh Energy Efficiency Improvement Investment Program - Tranche 2,India,Loan,Closed,2830,12/14/11,Energy,Electricity transmission and distribution,B,C,B
43574,43574-025,Uttar Pradesh Major District Roads Improvement Project,India,Loan,Closed,3386,4/14/16,Transportation,Road transport (non-urban),B,C,A
43576,43576-013,Clean Energy and Network Efficiency Improvement Project,Sri Lanka,Grant | Loan | Technical Assistance,Closed,0303 | 2892 | 2893 | 8167,9/18/12,Energy,Electricity transmission and distribution ,B,C,B
44082,44082-012,Improving Community-Based Rural Water Supply and Sanitation in Post-Conflict Areas of Jaffna and Kilinochchi,Sri Lanka,Grant,Closed,9154,2/4/11,Water,,B,C,C
44142,44142-013,Subregional Transport Project Preparatory Facility,Bangladesh,Loan,Closed,2688 | 3295,11/3/10,Transportation,Rail transport (non-urban) ,C,C,C
44143,44143-013,Subregional Transport Enhancement Project,Nepal,Grant | Loan,Closed,0225 | 2685,10/27/10,Transportation,Road transport (non-urban),B,B,B
44183,44183-013,Regional Power Transmission Enhancement Project,Georgia,Loan,Closed,2974,12/17/12,Energy,Electricity transmission and distribution,B,C,B
44192,44192-013,Bangladesh-India Electrical Grid Interconnection Project,Bangladesh,Loan,Closed,2661 | 3031,8/31/10,Energy,Electricity transmission and distribution,B,C,A
44192,44192-016,SASEC Second Bangladeshâ€“India Electrical Grid Interconnection Project,Bangladesh,Loan,Closed,3298 | 3299,9/29/15,Energy,Electricity transmission and distribution,B,C,B
44198,44198-013,Power Sector Rehabilitation Project,Kyrgyz Republic,Grant | Loan,Closed,0294 | 2869,6/11/12,Energy,Electricity transmission and distribution,B,C,C
44240,44240-013,Urban Infrastructure Project,Bhutan,Loan,Closed,2816,11/29/11,Transportation,Urban roads and traffic management ,B,C,C
44240,44240-014,Thimphu Road Improvement Project,Bhutan,Grant,Closed,499,9/29/16,Transportation,Urban roads and traffic management,B,C,C
44281,44281-013,Road Rehabilitation Project,Kiribati,Grant | Loan,Closed,0470 | 0527 | 2718,12/10/10,Transportation,Road transport (non-urban),B,C,B
44425,44425-013,Bihar State Highways II Project - Additional Financing,India,Loan | Technical Assistance,Closed,2894 | 8170,9/20/12,Transportation,Road transport (non-urban),B,C,A
44426,44426-014,National Grid Improvement Project,India,Loan,Closed,2787,9/30/11,Energy,Electricity transmission and distribution,B,C,B
44426,44426-016,Green Energy Corridor and Grid Strengthening Project,India,Loan,Closed,3365,12/9/15,Energy,Electricity transmission and distribution,B,C,B
44427,44427-013,Chhattisgarh State Road Sector Project,India,Loan | Technical Assistance,Closed,2981 | 8294,12/11/12,Transportation,Road transport (non-urban),B,B,A
44431,44431-013,Gujarat Solar Power Transmission Project,India,Loan,Closed,2778,9/12/11,Energy,Renewable energy generation - solar,B,C,B
44444,44444-013,Second Green Power Development Project,Bhutan,Grant | Loan | Technical Assistance,Closed,0421 | 3225 | 3226 | 8791,12/15/14,Energy,Large hydropower generation,A,C,B
44469,44469-013,Yap Renewable Energy Development Project,"Micronesia, Federated States of",Loan,Closed,3004 | 3005,6/20/13,Energy,Conventional energy generation ,B,C,B
44482,44482-022,Transport Network Development Investment Program - Tranche 1,Afghanistan,Grant,Closed,0261 | 0262,10/12/11,Transportation,Road transport (non-urban) ,B,C,A
44483,44483-023,Second Central Asia Regional Economic Cooperation Corridor 2 Road Investment Program - Tranche 1,Uzbekistan,Loan,Closed,2772,9/2/11,Transportation,Road transport (non-urban),B,C,C
44483,44483-026,Second Central Asia Regional Economic Cooperation Corridor 2 Road Investment Program - Tranche 2,Uzbekistan,Loan,Closed,2965,12/10/12,Transportation,Road transport (non-urban),B,C,B
44483,44483-027,Second Central Asia Regional Economic Cooperation Corridor 2 Road Investment Program (Tranche 3),Uzbekistan,Loan,Closed,3355,12/9/15,Transportation,Road transport (non-urban),B,C,B
45021,45021-002,Anhui Intermodal Sustainable Transport Project,China,Loan,Closed,3112,2/27/14,Transportation,Road transport (non-urban) ,A,C,A
45023,45023-002,Hubei-Yichang Sustainable Urban Transport Project,China,Loan,Closed,3014,8/21/13,Transportation,Road transport (non-urban) ,A,C,A
45030,45030-002,Yunnan Sustainable Road Maintenance (Sector) Project,China,Loan,Closed,3074,12/2/13,Transportation,Road transport (non-urban),B,C,B
45067,45067-005,CAREC Corridor 6 (Marakandâ€“Karshi) Railway Electrification Project,Uzbekistan,Loan,Closed,2781,9/28/11,Transportation,Rail transport (non-urban),B,C,C
45120,45120-003,Samarkand Solar Power Project,Uzbekistan,Loan,Closed,3058 | 3059,11/20/13,Energy,Renewable energy generation - solar,B,C,B
45150,45150-001,CAREC Corridor 1 (Taraz Bypass) Project,Kazakhstan,Loan,Closed,2824,12/7/11,Transportation,Road transport (non-urban),A,C,B
45169,45169-001,"Central Asia Regional Economic Cooperation Corridor 3 (Bishkek-Osh Road) Improvement Project, Phase 4",Kyrgyz Republic,Grant | Loan,Closed,0366 | 3056,11/5/13,Transportation,Road transport (non-urban),B,C,A
45174,45174-001,Dhaka-Chittagong Expressway Public-Private Partnership Design Project,Bangladesh,Loan,Closed,2856,3/30/12,Transportation,Road transport (non-urban),C,C,C
45198,45198-004,Secondary Cities Development Project,Viet Nam,Loan,Closed,3044,10/11/13,Transportation,Urban roads and traffic management ,B,C,A
45200,45200-002,Sustainable Urban Transport for Ho Chi Minh Mass Rapid Transit Line 2,Viet Nam,Loan,Closed,3113 | 8279,2/20/14,Transportation,Urban public transport,B,C,B
45224,45224-003,Rajasthan Renewable Energy Transmission Investment Program - Tranche 1,India,Loan | Technical Assistance,Closed,3052 | 8275 | 8486,10/22/13,Energy,Electricity transmission and distribution,B,C,B
45224,45224-004,Rajasthan Renewable Energy Transmission Investment Program - Tranche 2,India,Loan,Closed,3482 | 8312,12/5/16,Energy,Electricity transmission and distribution,B,C,B
45303,45303-001,Rural Energy Project (formerly Rural Energy Pilot Project),Cambodia,Grant,Closed,336,1/15/13,Energy,,B,C,B
45306,45306-001,Takhiatash Power Plant Efficiency Improvement Project,Uzbekistan,Loan,Closed,3141,7/15/14,Energy,Conventional energy generation ,A,C,B
45389,45389-002,Second Road Network Development Investment Program - Tranche 1,Azerbaijan,Loan,Closed,2921,10/25/12,Transportation,Road transport (non-urban),A,C,A
45389,45389-004,Second Road Network Development Investment Program - Tranche 2,Azerbaijan,Loan,Closed,3144,7/29/14,Transportation,Road transport (non-urban) ,A,C,B
45432,45432-002,Central Asia Regional Economic Cooperation Corridor 6 (Ayni-Uzbekistan Border Road) Improvement Project,Tajikistan,Grant | Loan,Closed,0301 | 8259,9/11/12,Transportation,Road transport (non-urban),B,C,B
45508,45508-002,Xinjiang Integrated Urban Development Project,China,Loan,Closed,3017,8/28/13,Transportation,Urban roads and traffic management ,B,B,A
45509,45509-002,Chongqing Urban-Rural Infrastructure Development Demonstration II Project,China,Loan,Closed,3022,9/20/13,Transportation,Road transport (non-urban) ,A,B,A
45520,45520-001,Community Sanitation Project,Samoa,Grant,Closed,9166,7/31/12,Water,,B,C,C
46007,46007-002,Namangan 500-Kilovolt Power Transmission Project,Uzbekistan,Loan,Closed,2917 | 2918,10/11/12,Energy,Electricity transmission and distribution,B,C,B
46014,46014-002,Provincial Renewable Energy Project,Solomon Islands,Grant | Loan,Closed,0386 | 3127,5/12/14,Energy,Renewable energy generation - small hydro,B,C,B
46040,46040-003,Yunnan Pu'er Regional Integrated Road Network Development Project,China,Loan,Closed,3217,12/8/14,Transportation,Road transport (non-urban),A,A,A
46042,46042-002,Shaanxi Mountain Road Safety Demonstration Project,China,Loan,Closed,3294,9/28/15,Transportation,Road transport (non-urban),A,C,A
46044,46044-002,Renewable Energy Development and Power Sector Rehabilitation Project,Samoa,Grant,Closed,0370 | 0371 | 0373 | 0456 | 0457,11/15/13,Energy,Renewable energy generation - small hydro,B,C,B
46058,46058-002,Qinghai Delingha Concentrated Solar Thermal Power Project,China,Loan,Closed,3075,12/2/13,Energy,Renewable energy generation - solar,B,B,B
46063,46063-002,Xinjiang Tacheng Border Cities and Counties Development Project,China,Loan,Closed,3263,6/29/15,Transportation,Urban roads and traffic management ,B,B,A
46077,46077-001,Improved Maternal and Child Health through Connectivity,Tajikistan,Grant,Closed,9171,3/7/13,Transportation,,B,C,C
46094,46094-001,Neighborhood Upgrading and Shelter Project (Phase 2),Indonesia,Loan,Closed,3122,3/31/14,Water,Urban housing ,B,C,B
46145,46145-001,CAREC Corridor 3 (Shymkent-Tashkent Section) Road Improvement Project,Kazakhstan,Loan,Closed,2916,10/5/12,Transportation,Road transport (non-urban),B,C,B
46168,46168-001,South Asia Subregional Economic Cooperation Railway Connectivity: Akhaura-Laksam Double Track Project,Bangladesh,Loan | Technical Assistance,Closed,3169 | 3170 | 8731,9/30/14,Transportation,Rail transport (non-urban),B,C,A
46265,46265-001,Energy Efficiency for Ho Chi Minh City Water Supply,Viet Nam,Grant,Closed,365,10/17/13,Water,,C,C,C
46270,46270-002,Community-Based Flood Risk Management and Disaster Response in the Chao Phraya Basin,Thailand,Grant,Closed,9179,10/22/14,Water,,B,C,C
46377,46377-002,Sindh Provincial Road Improvement Project,Pakistan,Loan,Closed,3305,10/12/15,Transportation,Road transport (non-urban),B,C,B
46390,46390-003,Power Distribution Improvement Project,Myanmar,Loan,Closed,3084,12/6/13,Energy,Electricity transmission and distribution,B,C,C
46391,46391-001,Ha Noi and Ho Chi Minh City Power Grid Development Sector Project,Viet Nam,Loan,Closed,3161 | 8286,9/23/14,Energy,Electricity transmission and distribution,B,C,B
46416,46416-002,Power Transmission Rehabilitation Project,Armenia,Loan,Closed,3150,7/31/14,Energy,Electricity transmission and distribution ,B,C,C
46417,46417-001,Jaipur Metro Rail Line 1-Phase B Project,India,Loan,Closed,3062,11/20/13,Transportation,Urban public transport,A,C,C
46443,46443-002,Second Greater Mekong Subregion Corridor Towns Development Project,Cambodia,Loan,Closed,3314,11/13/15,Water,Urban flood protection ,B,C,B
46543,46543-002,Central Asia Regional Economic Cooperation Corridors 3 and 5 Enhancement Project,Tajikistan,Grant,Closed,356,9/19/13,Transportation,Road transport (non-urban),B,C,B
47017,47017-003,Wholesale Metering and Transmission Reinforcement Project,Tajikistan,Grant,Closed,417,12/2/14,Energy,Electricity transmission and distribution ,B,C,B
47085,47085-002,Road Sector Governance and Maintenance Project,Lao People's Democratic Republic,Loan,Closed,3368,1/28/16,Transportation,Road transport (non-urban),B,B,C
47100,47100-004,Madhya Pradesh Power Transmission and Distribution System Improvement Project,India,Loan,Closed,3066,11/27/13,Energy,Electricity transmission and distribution,B,C,B
47101,47101-002,Assam Power Sector Investment Program - Tranche 1,India,Loan,Closed,3140,7/11/14,Energy,Conventional energy generation,B,C,C
47101,47101-003,Assam Power Sector Investment Program - Tranche 2,India,Loan,Closed,3327,11/23/15,Energy,Electricity transmission and distribution ,B,C,B
47182,47182-001,Southern Road Connectivity Project,Sri Lanka,Loan,Closed,3027 | 3028,9/23/13,Transportation,Road transport (non-urban),B,C,A
47270,47270-001,Madhya Pradesh District Connectivity Sector Project,India,Loan,Closed,3189,11/19/14,Transportation,Road transport (non-urban),B,C,B
47273,47273-003,Integrated Road Investment Program-Tranche 1,Sri Lanka,Loan,Closed,3171,10/3/14,Transportation,Road transport (non-urban),B,C,B
47273,47273-004,Integrated Road Investment Program-Tranche 2,Sri Lanka,Loan,Closed,3221 | 3222,12/11/14,Transportation,Road transport (non-urban),B,C,B
47273,47273-005,Integrated Road Investment Program-Tranche 3,Sri Lanka,Loan,Closed,3325 | 3326,11/23/15,Transportation,Road transport (non-urban),B,C,B
47281,47281-001,National Highway Network Development in Balochistan Project,Pakistan,Grant | Loan,Closed,0451 | 3134,6/27/14,Transportation,Road transport (non-urban),B,C,B
47341,47341-002,South Asia Subregional Economic Cooperation Road Connectivity Investment Program - Tranche 1,India,Loan,Closed,3118,4/1/14,Transportation,Road transport (non-urban),A,A,A
47341,47341-003,South Asia Subregional Economic Cooperation Road Connectivity Investment Program-Tranche 2,India,Loan,Closed,3690,8/13/18,Transportation,Road transport (non-urban),B,B,A
48023,48023-003,Ningxia Liupanshan Poverty Reduction Rural Road Development Project,China,Loan,Closed,3444,10/21/16,Transportation,Road transport (non-urban),B,B,B
48226,48226-003,Second Rural Connectivity Investment Program - Tranche 1,India,Loan,Closed,3611,12/4/17,Transportation,Road transport (non-urban),B,C,C
48226,48226-004,Second Rural Connectivity Investment Program - Tranche 2,India,Loan,Closed,3703,9/12/18,Transportation,Road transport (non-urban),B,C,C
48293,48293-001,Transport Sector Flood Recovery Project,Solomon Islands,Grant | Loan,Closed,0403 | 3152,8/13/14,Transportation,Road transport (non-urban),B,C,B
48402,48402-001,National Motorway M-4 Gojraâ€“Shorkot Section Project,Pakistan,Grant | Loan,Closed,0440 | 0482 | 3300 | 3395 | 8308,9/30/15,Transportation,Road transport (non-urban),A,C,A
48424,48424-002,CAREC Corridors 1 and 6 Connector Road (Aktobeâ€“Makat) Reconstruction Project,Kazakhstan,Loan,Closed,3416,8/26/16,Transportation,Road transport (non-urban),B,C,B
49080,49080-001,Electricity Grid Strengtheningâ€”Sumatra Program,Indonesia,Loan,Closed,3339 | 8297,12/2/15,Energy,Electricity transmission and distribution,B,C,B
49094,49094-001,Railway Rolling Stock Project,Bangladesh,Loan,Closed,3301,9/30/15,Transportation,Rail transport (non-urban),C,C,C
49113,49113-001,Managing Soil Pollution in Ger Areas through Improved On-site Sanitation Project,Mongolia,Grant,Closed,9189,11/10/16,Water,,C,C,C
49125,49125-001,Second Jharkhand State Road Project,India,Loan,Closed,3276,9/9/15,Transportation,Road transport (non-urban) ,B,C,A
49191,49191-001,Post-Flood National Highways Rehabilitation Project,Pakistan,Loan,Closed,3378,3/29/16,Transportation,Road transport (non-urban),B,C,B
49214,49214-002,Solar Transmission Sector Project,India,Loan,Closed,3521 | 8325,3/29/17,Energy,Electricity transmission and distribution,B,C,B
49228,49228-002,Rajasthan State Highway Investment Program - Tranche 1,India,Loan,Closed,3534,5/30/17,Transportation,Road transport (non-urban),B,C,A
49319,49319-001,Cyclone Pam Road Reconstruction Project,Vanuatu,Grant | Loan,Closed,0459 | 0460 | 0461 | 0540 | 3331 | 3332 | 3552,11/25/15,Transportation,Road transport (non-urban) ,B,C,B
49377,49377-001,Madhya Pradesh District Roads II Sector Project,India,Loan,Closed,3437,9/30/16,Transportation,Road transport (non-urban) ,B,C,B
50016,50016-001,Sustainable Energy Access in Eastern Indonesia-Electricity Grid Development Program,Indonesia,Loan,Closed,3560,9/14/17,Energy,Electricity transmission and distribution,B,B,B
50063,50063-001,Kashkadarya Regional Road Project,Uzbekistan,Loan,Closed,3481,12/5/16,Transportation,Road transport (non-urban),B,C,B
50301,50301-002,Second Integrated Road Investment Program-Tranche 1,Sri Lanka,Loan,Closed,3579 | 3580,10/6/17,Transportation,Road transport (non-urban),B,C,B
50301,50301-003,Second Integrated Road Investment Program-Tranche 2,Sri Lanka,Loan,Closed,3851,11/5/19,Transportation,Road transport (non-urban),B,C,B
50372,50372-001,Water Supply Scheme for Tete Settlement,Papua New Guinea,Grant,Closed,638,2/21/19,Water,Urban water supply,B,C,C
50373,50373-002,Rooftop Solar Power Generation Project,Sri Lanka,Loan | Technical Assistance,Closed,3571 | 9389,9/26/17,Energy,Renewable energy generation - solar,C,C,C
51052,51052-002,Railway Efficiency Improvement Project,Uzbekistan,Loan,Closed,3785,5/20/19,Transportation,Rail transport (non-urban),C,C,C
51180,51180-001,Bihar State Highways III Project,India,Loan,Closed,3738,11/15/18,Transportation,Road transport (non-urban) ,B,C,A
51297,51297-001,Urban Project Preparatory Facility,Sri Lanka,Loan | Technical Assistance,Closed,3706 | 9590,9/18/18,Transportation,Urban roads and traffic management ,C,C,C
52129,52129-001,Cyclone Gita Recovery Project,Tonga,Grant,Closed,575,6/15/18,Energy,Electricity transmission and distribution,B,C,C
52256,52256-006,Osh-Plotina Water Treatment Plant Chlorine Neutralization Unit,Kyrgyz Republic,Grant,Closed,704,8/17/20,Water,Urban water supply,B,C,C
52303,52303-001,Managing Solid Waste in Secondary Cities,Mongolia,Grant,Closed,9206,6/8/20,Water,Urban solid waste management,B,C,C
55154,55154-001,Strengthening Multimodal and Integrated Logistics Ecosystem Program (Subprogram 1),India,Loan,Closed,4275,12/8/22,Transportation,Multimodal logistics,C,C,C
