projectid_head,projectid1,projectid2,projectid3,projectid4,countrycode,countryname,region,countryclassification_current,countryclassification_at_approval,projectname,modality,mode_of_fin_assistance,modality_financing,funding_source,approved_amount_usd_m,disbursed_amonut_usd_m,committed_amount_usd_m,approvaldate,approvalyear,loangisnged,loaneffective_initial,loaneffective_final,closingdate_initial,closingdate_final,cofin_approval_usd_m,cofin_act_usd_m,totalcost_initial,totalcost_final,sector1,sector1a,sector2,sector2a,ied_overall_rating,ied_relevance,ied_effectiveness,ied_efficiency,ied_sustainability,ied_borrower_performance,ied_ea_performance,ied_adb_performance
33307,33307-023 ,,,,VIE,Viet Nam,Southeast Asia,C,B1,Greater Mekong Subregion: Kunming–Haiphong Transport Corridor—Noi Bai–Lao Cai Highway Project,Project,Project loan,,OCR,896,849.2697611,896,12/14/07,2007,9/26/08,12/25/08,3/9/09,12/31/12,10/1/19,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
33307,33307-023 ,,,,VIE,Viet Nam,Southeast Asia,C,B1,Greater Mekong Subregion: Kunming–Haiphong Transport Corridor—Noi Bai–Lao Cai Highway Project,Project,Project loan,,COL,200,192.7130135,201.3486909,12/14/07,2007,9/26/08,12/25/08,3/9/09,12/31/12,10/1/19,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
33307,33307-023 ,,,,VIE,Viet Nam,Southeast Asia,C,B,Greater Mekong Subregion: Kunming–Haiphong Transport Corridor—Noi Bai–Lao Cai Highway Project (Additional Financing),Project,Project loan,,OCR,117,25.02566665,117,12/3/14,2014,5/4/15,8/2/15,10/21/15,6/30/16,10/1/19,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
33307,33307-023 ,,,,VIE,Viet Nam,Southeast Asia,C,B,Greater Mekong Subregion: Kunming–Haiphong Transport Corridor—Noi Bai–Lao Cai Highway Project (Additional Financing),Project,Project loan,,COL,16.09,2.88287647,15.1685897,12/3/14,2014,5/4/15,8/2/15,10/21/15,6/30/16,10/1/19,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
33307,33307-023 ,,,,VIE,Viet Nam,Southeast Asia,C,B,Greater Mekong Subregion: Kunming–Haiphong Transport Corridor—Noi Bai–Lao Cai Highway Project (Additional Financing),Project,Project loan,,COL,13.91,2.49005079,13.1133915,12/3/14,2014,5/4/15,8/2/15,10/21/15,6/30/16,10/1/19,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
34339,34339-013,34339-023,,,PAK,Pakistan,Central and West Asia,B,B1,Renewable Energy Development Sector Investment Program,Project,MFF - Facility,MFF - Facility,COL/OCR,100.634175,102.5335036,118.6306915,12/13/06,2006,10/5/07,1/3/08,11/29/07,6/30/12,6/7/18,0,0,144.5,144.7,Energy,Large hydropower generation,na,na,less than successful,less than relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
34339,34339-023,,,,PAK,Pakistan,Central and West Asia,B,B1,Renewable Energy Development Sector Investment Program (Project 1),Project,MFF-Tranche (Loan),,OCR,90.634175,99.52974306,108.0665575,12/13/06,2006,10/5/07,1/3/08,11/29/07,6/30/12,6/7/18,,,,,Energy,Large hydropower generation,na,na,-,-,-,-,-,-,-,-
34339,34339-023,,,,PAK,Pakistan,Central and West Asia,B,B1,Renewable Energy Development Sector Investment Program (Project 1),Project,MFF-Tranche (Loan),,COL,10,3.00376055,10.56413395,12/13/06,2006,10/5/07,1/3/08,11/29/07,6/30/12,6/7/18,,,,,Energy,Large hydropower generation,na,na,-,-,-,-,-,-,-,-
34420,34420-013,,,,IND,India,South Asia,B,B2,National Highways Sector I,Project,Sector loan,,OCR,400,399.6019086,400,12/4/03,2003,10/27/04,1/25/05,1/24/05,12/31/11,5/9/12,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
34420,34420-023,,,,IND,India,South Asia,B,B,National Highway Corridor (Sector) I Project (Supplementary Loan),Project,Sector loan,,OCR,100,100,100,6/30/09,2009,8/4/09,11/1/09,9/15/09,12/31/11,5/9/12,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
35049,35049-023,35049-033,,,BAN,Bangladesh,South Asia,B,B1,Padma Multipurpose Bridge Design Project,Project,TA loan,TA loan,COL,27.6,26.96664762,27.789138,12/5/07,2007,12/12/07,3/11/08,8/25/08,8/31/11,11/6/12,0,0,22,26.9,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory
35049,35049-023,,,,BAN,Bangladesh,South Asia,B,B1,Padma Multipurpose Bridge Design Project,Project,TA loan,,COL,17.6,17.18268445,17.67444616,12/5/07,2007,12/12/07,3/11/08,8/25/08,8/31/10,12/15/10,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
35049,35049-033,,,,BAN,Bangladesh,South Asia,B,B,Padma Multipurpose Bridge Design Project (Supplementary Loan),Project,TA loan,,COL,10,9.78396317,10.11469184,12/2/09,2009,12/7/09,3/7/10,6/23/10,8/31/11,11/6/12,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
35173,35173-013,,,,NEP,Nepal,South Asia,A,A,Third Small Towns Water Supply and Sanitation Sector Project,Project,Sector loan,Sector loan,COL/OFID/Bill and Melinda Gates Foundation,81.3,61.04,78.39010122,9/19/14,2014,11/25/14,2/23/15,2/23/15,7/31/21,3/7/22,21.3,16.14,109,90.5,Water,"Urban water supply; Urban policy, institutional and capacity development; Urban sanitation",na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
35173,35173-013,,,,NEP,Nepal,South Asia,A,A,"Third Small Towns Water Supply and Sanitation
Sector Project",Project,Sector loan,,COL,60,44.9,57.09010122,9/19/14,2014,11/25/14,2/23/15,2/23/15,7/31/21,12/15/21,,,,,Water,"Urban water supply; Urban policy, institutional and capacity development; Urban sanitation",na,na,-,-,-,-,-,-,-,-
35173,35173-013,,,,NEP,Nepal,South Asia,A,A,"Third Small Towns Water Supply and Sanitation
Sector Project",Project,Sector loan,,OPEC Fund for International Development,20,15.2,20,3/10/15,2015,9/22/15,12/21/15,2/4/16,2/28/20,3/7/22,20,15.2,,,Water,"Urban water supply; Urban policy, institutional and capacity development; Urban sanitation",na,na,-,-,-,-,-,-,-,-
35173,35173-013,,,,NEP,Nepal,South Asia,A,A,"Third Small Towns Water Supply and Sanitation
Sector Project",Project,Sector grant,,Bill and Melinda Gates Foundation,1.3,0.94,1.3,9/19/14,2014,11/25/14,2/23/15,2/23/15,6/30/19,3/23/21,1.3,0.94,,,Water,"Urban water supply; Urban policy, institutional and capacity development; Urban sanitation",na,na,-,-,-,-,-,-,-,-
35242,35242-013,,,,BAN,Bangladesh,South Asia,B,B1,Gas Transmission and Development Project,Project,Project loan,Project loan,COL/OCR,235,184.0722503,235.0154207,10/27/05,2005,6/18/06,9/16/06,10/11/06,10/11/11,5/18/17,5,3.6,413.4,303.7,Energy,Oil and gas transmission and distribution,na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
35242,35242-013,,,,BAN,Bangladesh,South Asia,B,B1,Gas Transmission and Development Project,Project,Project loan,,OCR,225,178.0395089,225,10/27/05,2005,6/18/06,9/16/06,11/28/06,12/31/10,5/18/17,,,,,Energy,Oil and gas transmission and distribution,na,na,-,-,-,-,-,-,-,-
35242,35242-013,,,,BAN,Bangladesh,South Asia,B,B1,Gas Transmission and Development Project,Project,Project loan,,COL,5,2.4577975,5.01542069,10/27/05,2005,6/18/06,9/16/06,11/28/06,12/31/10,6/4/13,,,,,Energy,Oil and gas transmission and distribution,na,na,-,-,-,-,-,-,-,-
35242,35242-013,,,,BAN,Bangladesh,South Asia,B,B1,Gas Transmission and Development Project,Project,Project grant,,Government of Norway,5,3.57494385,5,10/27/05,2005,10/11/06,10/11/06,10/11/06,10/11/11,2/13/14,5,3.6,,,Energy,Oil and gas transmission and distribution,na,na,-,-,-,-,-,-,-,-
35290,35290-023,,,,IND,India,South Asia,B,B,"North Eastern Region Capital Cities Development
Investment Program (Project 1) ",Project,MFF-Tranche (Loan),MFF - tranche,OCR,30,24.95526099,30,7/1/09,2009,8/4/09,11/2/09,11/19/09,4/30/16,10/23/19,0,0,42.818,34.077,Water,Urban water supply,na,na,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
35354,35354-013,,,,PRC,China,East Asia,C,C,Lanzhou-Chongqing Railway Development Project,Project,Project loan,Project loan,OCR/China Construction Bank/Industrial and Commercial Bank of China,300,288.0704252,300,11/18/08,2008,8/26/09,11/24/09,11/23/09,6/30/16,6/21/19,4004.5,6542.9,8608.9,16082,Transportation,Road transport (non-urban),na,na,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
35377,35377-013,,,,MON,Mongolia,East Asia,B,A,Regional Road Development Project,Project,Project loan,,COL,41.41973389,43.59403419,43.19174361,7/22/04,2004,1/26/05,4/26/05,7/1/05,12/31/14,5/29/15,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
35377,35377-023,,,,MON,Mongolia,East Asia,B,A,Regional Road Development Project - Supplementary,Project,Project loan,,COL,8,7.33600207,7.88485539,3/30/10,2010,4/14/10,6/13/10,6/16/10,12/31/14,7/31/15,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
35377,35377-023,,,,MON,Mongolia,East Asia,B,A,Regional Road Development Project - Supplementary,Project,Project grant,,ADF,16,15.99980625,16,3/30/10,2010,4/14/10,6/13/10,6/16/10,6/30/13,3/30/15,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
35448,35448-013,,,,FSM,"Micronesia, Federated States of",Pacific,A,B1,Omnibus Infrastructure Development Project,Project,Project loan,Project loan,COL/OCR,19,19.07240101,18.97604216,11/5/04,2004,6/28/05,9/26/05,3/23/06,12/31/09,1/17/22,0,0,30.2,32.9,Water,"Urban water supply; Urban sewerage; Urban policy, institutional and capacity development	",ENE,Conventional energy generation,less than successful,less than relevant,less than effective,less than efficient,less than likely sustainable,unsatisfactory,unsatisfactory,less than satisfactory
35448,35448-013,,,,FSM,"Micronesia, Federated States of",Pacific,A,B1,Omnibus Infrastructure Development Project,Project,Project loan,,COL,14.2,14.39189063,14.17604216,11/5/04,2004,6/28/05,9/26/05,3/23/06,12/31/09,1/17/22,,,,,Water,"Urban water supply; Urban sewerage; Urban policy, institutional and capacity development	",ENE,Conventional energy generation,-,-,-,-,-,-,-,-
35448,35448-013,,,,FSM,"Micronesia, Federated States of",Pacific,A,B1,Omnibus Infrastructure Development Project,Project,Project loan,,OCR,4.8,4.68051038,4.8,11/5/04,2004,6/28/05,9/26/05,3/23/06,12/31/09,1/17/22,,,,,Water,"Urban water supply; Urban sewerage; Urban policy, institutional and capacity development	",ENE,Conventional energy generation,-,-,-,-,-,-,-,-
36107,36107-013,,,,BAN,Bangladesh,South Asia,B,B1,Sustainable Power Sector Development Program (Project),Project,SDP - Project loan,,OCR,400,369,400,6/26/07,2007,6/28/07,9/26/07,9/24/07,6/30/10,10/22/14,,,,,Energy,Energy sector development and institutional reform,na,na,-,-,-,-,-,-,-,-
36107,36107-013,,,,BAN,Bangladesh,South Asia,B,B1,Sustainable Power Sector Development Program (Project),Project,SDP - Project loan,,COL,5,3.6,5.10170511,6/26/07,2007,6/28/07,9/26/07,9/24/07,6/30/10,4/15/14,,,,,Energy,Energy sector development and institutional reform,na,na,-,-,-,-,-,-,-,-
36107,36107-023,,,,BAN,Bangladesh,South Asia,B,B1,Sustainable Power Sector Development Program (Program),Program,SDP - Program loan,,COL,60,64,61.2174345,6/26/07,2007,6/28/07,9/26/07,9/24/07,6/30/08,6/16/08,,,,,Energy,Conventional energy generation,na,na,-,-,-,-,-,-,-,-
36111,36111-013,,,,MLD,Maldives,South Asia,A,A,Kulhudhuffushi Harbor Expansion Project,Project,Project grant,Project grant,ADF,9.69,8.94086101,9.69,8/16/16,2016,10/5/16,1/3/17,2/14/17,6/30/20,2/25/22,0,0,10.44,9.9,Transportation,Water transport (non-urban),na,na,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,less than satisfactory,satisfactory
36188,36188-023,,,,NEP,Nepal,South Asia,A,A,Secondary Towns Integrated Urban Environmental Improvement Project,Project,Project loan,Project loan,COL/OPEC Fund for International Development,77,65.7558,81.52387112,7/6/10,2010,10/26/10,1/24/11,1/18/11,6/30/16,7/6/21,17,16.96,106.33,97.57,Water,Urban sewerage,TRA,Urban roads and traffic management,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than statisfactory,less than statisfactory,less than statisfactory
36188,36188-023,,,,NEP,Nepal,South Asia,A,A,Secondary Towns Integrated Urban Environmental Improvement Project,Project,Project loan,,COL,60,48.7958,64.52387112,7/6/10,2010,10/26/10,1/24/11,1/18/11,6/30/16,7/6/21,,,,,Water,Urban sewerage,TRA,Urban roads and traffic management,-,-,-,-,-,-,-,-
36188,36188-023,,,,NEP,Nepal,South Asia,A,A,Secondary Towns Integrated Urban Environmental Improvement Project,Project,Project loan,,OPEC Fund for International Development,17,16.96,17,6/18/10,2010,11/26/10,1/18/11,1/25/11,6/15/16,6/15/21,17,16.96,,,Water,Urban sewerage,TRA,Urban roads and traffic management,-,-,-,-,-,-,-,-
36297,36297-013,,,,BAN,Bangladesh,South Asia,B,B1,Secondary Towns Water Supply and Sanitation Sector Project,Project,Sector loan,,COL,41,34.73764142,40.97700816,10/16/06,2006,11/8/06,2/8/07,1/31/07,6/30/14,7/13/16,,,,,Water,Urban water supply,na,na,-,-,-,-,-,-,-,-
36297,36297-013,,,,BAN,Bangladesh,South Asia,B,B1,Secondary Towns Water Supply and Sanitation Sector Project,Project,Sector loan,,OFID,9,7.71988114,na,9/13/06,2006,3/20/07,,6/19/07,6/30/14,10/5/16,9,7.72,,,Water,Urban water supply,na,na,-,-,-,-,-,-,-,-
36317,36317-013,,,,IND,India,South Asia,B,B2,Railway Sector Improvement Project,Project,Sector Loan,Sector loan,OCR,313.6,201.915141,313.6,12/19/02,2002,4/21/04,7/20/04,10/26/04,6/30/08,6/19/12,0,0,579.2,446.663,Transportation,Rail transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory
36339,36339-022 ,,,,LAO,Lao People's Democratic Republic,Southeast Asia,A,A,Small Towns Water Supply and Sanitation Sector Project,Project,Project grant,Project grant,ADF,28.8,23.42795374,28.8,2/2/09,2009,3/6/09,6/4/09,4/27/09,12/31/14,3/6/19,5.8,0.49,31.44,26.74,Water,Urban water supply,na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
36437,36437-013,,,,PRC,China,East Asia,C,C,Integrated Ecosystem and Water Resources Management in the Baiyangdian Basin Project,Project,Project loan,Project loan,OCR/Global Environment Facility Grant,102.975,86.48184391,102.975,6/24/08,2008,11/27/08,2/25/09,3/27/09,3/31/14,3/5/18,4.8,0.2,273.4,200.8,Water,Urban sewerage,"ANR,ENE",Water-based natural resources management;Renewable energy generation—Geothermal,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory
36437,36437-013,,,,PRC,China,East Asia,C,C,Integrated Ecosystem and Water Resources Management in the Baiyangdian Basin Project,Project,Project loan,,OCR,100,86.25077666,100,6/24/08,2008,11/27/08,2/25/09,3/27/09,3/31/14,3/5/18,,,,,Water,Urban sewerage,na,na,-,-,-,-,-,-,-,-
36437,36437-013,,,,PRC,China,East Asia,C,C,Integrated Ecosystem and Water Resources Management in the Baiyangdian Basin Project,Project,Project grant,,Global Environment Facility Grant,2.975,0.23106725,2.975,10/30/09,2009,6/23/10,2/25/09,6/23/10,3/31/14,3/7/18,2.975,0.2,,,Water,Urban sewerage,na,na,-,-,-,-,-,-,-,-
37066,37066-063,,,,IND,India,South Asia,B,B,Rural Roads Sector II Investment Program (Tranche 5),Project,MFF-Tranche (Loan),,OCR,222.2,192.26,222.2,7/6/10,2010,8/2/10,10/31/10,10/29/10,6/30/13,1/1/15,,,,,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
37078,37078-013,,,,AFG,Afghanistan,Central and West Asia,A,A,Power Transmission and Distribution Project,Project,Project loan,,COL,26.5,25.16879852,25.11427428,4/14/05,2005,8/2/05,11/2/05,3/2/06,12/31/15,5/25/16,,,,,Energy,Electricity transmission and distribution,na,na,-,-,-,-,-,-,-,-
37078,37078-022,,,,AFG,Afghanistan,Central and West Asia,A,A,Power Transmission and Distribution Project,Project,Project grant,,ADF,23.5,21.8265398,23.5,4/14/05,2005,8/2/05,11/2/05,3/2/06,12/31/08,7/31/14,,,,,Energy,Electricity transmission and distribution,na,na,-,-,-,-,-,-,-,-
37139,37139-023,,,,IND,India,South Asia,B,B2,Uttaranchal Power Sector Investment Program (Tranche 1),Project,MFF-Tranche (Loan),MFF - tranche,OCR,41.92,22.90019062,41.92,1/2/07,2007,2/22/07,5/23/07,3/29/07,6/30/12,2/8/17,0,0,61.39,35.39,Energy,?Renewable energy generation - small hydro; Large hydropower generation,na,na,successful,relevant,less than effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory
37139,37139-053,,,,IND,India,South Asia,B,B,Uttarakhand Power Sector Investment Program (Tranche 4 and Multitranche Financing Facility),Project,MFF - Facility,MFF - Facility,OCR,150,7.28132561,150,10/26/12,2012,9/16/10,9/2/13,8/30/13,3/30/16,2/8/17,0,0,150,7.28,Energy,Electricity transmission and distribution,na,na,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
37139,37139-053,,,,IND,India,South Asia,B,B,Uttarakhand Power Sector Investment Program (Tranche 4),Project,MFF-Tranche (Loan),,OCR,150,7.28132561,150,10/26/12,2012,10/1/14,9/2/13,8/30/13,3/30/16,2/8/17,0,0,150,7.28,Energy,Electricity transmission and distribution,na,na,unsuccessful,less than relevant,ineffective,inefficient,unlikely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
37192,37192-023,37192-033,37192-043,37192-044,PAK,Pakistan,Central and West Asia,B,B,Power Transmission Enhancement Investment Program,Project,MFF-Facility,MFF - Facility,OCR/Agence Francaise de Developpement,330.5,118.631329,330.5,12/3/14,2014,12/12/14,3/12/15,3/6/15,2/1/20,11/16/20,82.5,66.076,417.8,167.39,Energy,Electricity transmission and distribution,na,na,successful,relevant,effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory
37192,37192-023,,,,PAK,Pakistan,Central and West Asia,B,B1,Power Transmission Enhancement Investment Program (Tranche 1),Project,MFF-Tranche (Loan),,OCR,226,128.7,226,12/13/06,2006,1/16/07,4/16/07,5/11/07,12/30/09,2/8/13,,,,,Energy,Electricity transmission and distribution,na,na,-,-,-,-,-,-,-,-
37192,37192-023,,,,PAK,Pakistan,Central and West Asia,B,B1,Power Transmission Enhancement Investment Program (Tranche 1),Project,MFF-Tranche (Loan),,COL,10,4.27,10.10606571,12/13/06,2006,1/16/07,4/16/07,5/11/07,6/15/17,8/23/17,,,,,Energy,Electricity transmission and distribution,na,na,-,-,-,-,-,-,-,-
37192,37192-043,,,,PAK,Pakistan,Central and West Asia,B,B,Power Transmission Enhancement Investment Program (Tranche 3),Project,MFF-Tranche (Loan),MFF - tranche,OCR,243.24,164.0772624,243.24,12/22/11,2011,1/18/12,2/17/12,2/21/12,6/30/16,10/30/17,0,0,287.44,273.91,Energy,Electricity transmission and distribution,na,na,successful,relevant,effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory
37192,37192-044,,,,PAK,Pakistan,Central and West Asia,B,B,Power Transmission Enhancement Investment Program (Tranche 4),Project,MFF-Tranche (Loan),,OCR,248,52.555012,248,12/3/14,2014,12/12/14,3/12/15,3/6/15,12/31/16,10/30/17,,,,,Energy,Electricity transmission and distribution,na,na,successful,relevant,effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory
37192,37192-044,,,,PAK,Pakistan,Central and West Asia,B,B,Power Transmission Enhancement Investment Program (Tranche 4),Project,MFF-Tranche (Loan),,Agence Francaise de Developpement,82.5,66.076317,82.5,9/29/16,2016,7/20/17,7/20/17,7/20/17,2/1/20,11/16/20,82.5,66.076,,,Energy,Electricity transmission and distribution,na,na,successful,relevant,effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory
37220,37220-013,37220-023,37220-033 ,,PAK,Pakistan,Central and West Asia,B,B,Sindh Cities Improvement Investment Program,Project,MFF - Facility,MFF - Facility,COL/OCR,137.1,64.74587146,136.2957181,12/19/08,2008,2/6/09,3/6/09,3/6/09,8/31/17,5/31/18,0,0,189.15,85.79,Water,"Urban policy, institutional and capacity development",na,na,unsuccessful,less than relevant,ineffective,inefficient,unlikely sustainable,unsatisfactory,unsatisfactory,less than satisfactory
37220,37220-033,,,,PAK,Pakistan,Central and West Asia,B,B,Sindh Cities Improvement Investment Program (Tranche 2),Project,MFF-Tranche (Loan),,OCR,25.1,7.05772717,25.1,12/18/12,2012,5/8/13,8/6/13,7/30/13,8/31/17,5/31/18,,,,,Water,Urban water supply,na,na,-,-,-,-,-,-,-,-
37220,37220-033,,,,PAK,Pakistan,Central and West Asia,B,B,Sindh Cities Improvement Investment Program (Tranche 2),Project,MFF-Tranche (Loan),,COL,74,20.71759736,73.053949,12/18/12,2012,5/8/13,8/6/13,7/30/13,8/31/17,5/31/18,,,,,Water,Urban water supply,na,na,-,-,-,-,-,-,-,-
37269,37269-013,37269-023,,,CAM,Cambodia,Southeast Asia,A,A,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia Project (with Supplementary Financing),Project,Project loan,Project loan,COL/OFID/Govt of Australia/Govt of Malaysia,118.5,112.1712247,117.4365704,12/13/06,2006,3/5/07,6/3/07,1/30/08,9/30/13,11/1/16,38.26,35.48,142.56,137.42,Transportation,Rail transport (non-urban),na,na,less than successful,less than relevant,ineffective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
37269,37269-013,,,,CAM,Cambodia,Southeast Asia,A,A,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia Project,Project,Project loan,,COL,42,42.77394745,42.54896744,12/13/06,2006,3/5/07,6/3/07,1/30/08,6/30/10,11/1/16,2.8,1.64,,,Transportation,Rail transport (nonurban),na,na,-,-,-,-,-,-,-,-
37269,37269-013,,,,CAM,Cambodia,Southeast Asia,A,A,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia Project,Project,Project loan,,OFID,13,12.62668281,13,1/10/07,2007,9/5/07,2/20/08,2/20/08,6/30/10,10/4/16,13,12.64,,,Transportation,Rail transport (nonurban),na,na,-,-,-,-,-,-,-,-
37269,37269-023,,,,CAM,Cambodia,Southeast Asia,A,A,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia Project (Supplementary Financing),Project,Project loan,,COL,42,35.56945705,40.38760296,12/15/09,2009,3/2/10,4/21/10,4/21/10,9/30/13,11/1/16,,,,,Transportation,Rail transport (nonurban),na,na,-,-,-,-,-,-,-,-
37269,37269-023,,,,CAM,Cambodia,Southeast Asia,A,A,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia Project (Supplementary Financing),Project,Project grant,,Govt of Australia,21.5,21.20113737,21.5,12/15/09,2009,10/5/10,1/5/11,1/5/11,9/30/13,4/20/16,22.46,21.2,,,Transportation,Rail transport (nonurban),na,na,-,-,-,-,-,-,-,-
37381,37381-013,,,,SRI,Sri Lanka,South Asia,B,B,Dry Zone Urban Water and Sanitation Project,Project,Project loan/grant,Project loan/grant,COL/ADF/ATF - Netherlands TA Grant,125,106.4156331,127.1967379,11/28/08,2008,6/29/09,9/27/09,11/13/09,12/31/16,12/23/19,2,1.76,163.32,132.85,Water,Urban water supply,na,na,less than successful,relevant,effective,inefficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
37381,37381-013,,,,SRI,Sri Lanka,South Asia,B,B,Dry Zone Urban Water and Sanitation Project,Project,Project loan,,COL,59.78,44.79952417,62.16420854,11/28/08,2008,6/29/09,9/27/09,11/13/09,6/30/14,8/31/17,,,,,Water,Urban water supply,na,na,-,-,-,-,-,-,-,-
37381,37381-013,,,,SRI,Sri Lanka,South Asia,B,B,Dry Zone Urban Water and Sanitation Project (Additional Financing),Project,Project loan,,COL,40,36.63887921,39.8125294,12/18/12,2012,2/13/13,5/14/13,10/8/13,12/31/16,12/23/19,,,,,Water,Urban water supply,na,na,-,-,-,-,-,-,-,-
37381,37381-013,,,,SRI,Sri Lanka,South Asia,B,B,Dry Zone Urban Water and Sanitation Project,Project,Project grant,,ADF,23.22,23.21935241,23.22,11/28/08,2008,6/29/09,9/27/09,11/13/09,6/30/14,8/6/18,,,,,Water,Urban water supply,na,na,-,-,-,-,-,-,-,-
37381,37381-013,,,,SRI,Sri Lanka,South Asia,B,B,Dry Zone Urban Water and Sanitation Project,Project,Project grant,,ATF - Netherlands TA Grant,2,1.75787726,2,11/28/08,2008,6/29/09,9/27/09,11/13/09,6/30/14,8/23/17,2,1.76,,,Water,Urban water supply,na,na,-,-,-,-,-,-,-,-
37399,37399-013,,,,BHU,Bhutan,South Asia,A,A,Green Power Development Project,Project,Project loan,,OCR,51,51,51,10/29/08,2008,2/13/09,5/13/09,5/4/09,12/31/13,4/2/14,,,,,Energy,Large hydropower generation,na,na,-,-,-,-,-,-,-,-
37399,37399-013,,,,BHU,Bhutan,South Asia,A,A,Green Power Development Project,Project,Project loan,,COL,29,29.4,28.23086288,10/29/08,2008,2/13/09,5/13/09,5/4/09,12/31/13,4/2/14,,,,,Energy,Large hydropower generation,na,na,-,-,-,-,-,-,-,-
37399,37399-022,,,,BHU,Bhutan,South Asia,A,A,Green Power Development Project,Project,Project grant,,ADF,25.28,24.1,25.28,10/29/08,2008,2/13/09,5/13/09,4/21/09,12/31/13,2/28/15,,,,,Energy,Large hydropower generation,na,na,-,-,-,-,-,-,-,-
37399,37399-042,,,,BHU,Bhutan,South Asia,A,A,Green Power Development Project,Project,Project grant,,Asian Clean Energy Fund under the Clean Energy Financing Partnership Facility,1,0.9,1,12/26/08,2008,2/13/09,5/13/09,4/21/09,12/31/13,4/2/14,1,0.9,,,Energy,Large hydropower generation,na,na,-,-,-,-,-,-,-,-
37399,37399-043,,,,BHU,Bhutan,South Asia,A,A,Green Power Development Project (Additional Financing),Project,Project loan,,COL,39,35.1,39.37173207,9/30/13,2013,10/2/13,12/3/13,10/9/13,12/31/14,7/28/15,,,,,Energy,Large hydropower generation,na,na,-,-,-,-,-,-,-,-
37559,37559-043,,,,PAK,Pakistan,Central and West Asia,B,B,National Highway Development Sector Investment Program - Tranche 2,Project,MFF-Tranche (Loan),,OCR,230,210.4468246,230,8/26/09,2009,9/2/09,9/14/06,9/21/09,12/31/14,6/3/15,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
37734,37734-013,,,,LAO,Lao People's Democratic Republic,Southeast Asia,A,A,Greater Mekong Subregion: Nam Theun 2 Hydroelectric Project,Project,Project loan,Project loan,OCR,20,18.428,20,4/4/05,2005,4/26/05,6/3/05,5/30/05,2/2/11,2/2/11,1055,909.3,1450,1304,Energy,Large hydropower generation,na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
